iter	Passed	Remaining
414	3107	4380
415	3114	4372
416	3123	4367
417	3130	4358
418	3137	4350
419	3145	4343
420	3153	4336
421	3160	4328
422	3167	4321
423	3175	4314
424	3183	4306
425	3190	4299
426	3198	4292
427	3205	4284
428	3213	4277
429	3220	4269
430	3228	4262
431	3235	4254
432	3243	4246
433	3250	4238
434	3257	4231
435	3264	4223
436	3271	4215
437	3280	4208
438	3287	4201
439	3295	4193
440	3302	4185
441	3309	4178
442	3317	4171
443	3324	4163
444	3331	4155
445	3339	4148
446	3346	4140
447	3353	4132
448	3360	4123
449	3369	4118
450	3376	4110
451	3384	4102
452	3392	4095
453	3398	4087
454	3407	4081
455	3414	4073
456	3422	4066
457	3429	4058
458	3437	4051
459	3445	4044
460	3452	4037
461	3460	4030
462	3467	4022
463	3475	4014
464	3482	4006
465	3489	3998
466	3496	3990
467	3504	3983
468	3511	3975
469	3519	3968
470	3525	3959
471	3532	3952
472	3540	3944
473	3547	3937
474	3554	3928
475	3562	3921
476	3569	3913
477	3576	3905
478	3583	3898
479	3591	3890
480	3599	3883
481	3606	3876
482	3613	3868
483	3621	3860
484	3629	3853
485	3637	3847
486	3644	3838
487	3651	3831
488	3659	3823
489	3665	3815
490	3672	3807
491	3679	3799
492	3686	3791
493	3693	3783
494	3701	3776
495	3708	3768
496	3715	3760
497	3723	3753
498	3730	3745
499	3738	3738
500	3747	3732
501	3754	3724
502	3761	3716
503	3769	3709
504	3777	3702
505	3785	3695
506	3792	3687
507	3799	3680
508	3807	3672
509	3814	3664
510	3821	3657
511	3829	3650
512	3837	3643
513	3845	3635
514	3852	3628
515	3859	3620
516	3867	3612
517	3874	3604
518	3881	3597
519	3889	3590
520	3896	3582
521	3903	3574
522	3910	3566
523	3918	3559
524	3925	3551
525	3933	3544
526	3940	3537
527	3948	3529
528	3956	3522
529	3963	3514
530	3971	3507
531	3978	3499
532	3985	3492
533	3993	3484
534	4000	3477
535	4007	3469
536	4014	3461
537	4022	3453
538	4028	3445
539	4036	3438
540	4043	3430
541	4051	3423
542	4059	3416
543	4066	3408
544	4074	3401
545	4082	3394
546	4089	3386
547	4097	3379
548	4104	3371
549	4111	3363
550	4118	3356
551	4125	3348
552	4133	3340
553	4140	3333
554	4148	3326
555	4155	3318
556	4164	3311
557	4171	3303
558	4177	3295
559	4185	3288
560	4192	3280
561	4199	3272
562	4206	3264
563	4213	3257
564	4220	3249
565	4227	3241
566	4234	3233
567	4241	3226
568	4248	3218
569	4256	3210
570	4263	3203
571	4270	3195
572	4277	3187
573	4284	3180
574	4291	3172
575	4299	3164
576	4306	3157
577	4314	3149
578	4321	3142
579	4329	3135
580	4337	3127
581	4344	3120
582	4351	3112
583	4359	3105
584	4366	3097
585	4373	3090
586	4381	3082
587	4388	3074
588	4396	3067
589	4403	3060
590	4410	3052
591	4418	3044
592	4425	3037
593	4432	3029
594	4440	3022
595	4447	3014
596	4455	3007
597	4462	2999
598	4469	2992
599	4477	2984
600	4484	2977
601	4491	2969
602	4499	2962
603	4506	2954
604	4514	2947
605	4521	2939
606	4528	2932
607	4535	2924
608	4543	2916
609	4550	2909
610	4557	2901
611	4565	2894
612	4572	2886
613	4580	2879
614	4587	2871
615	4594	2864
616	4602	2856
617	4609	2849
618	4617	2841
619	4624	2834
620	4631	2826
621	4638	2819
622	4646	2811
623	4654	2804
624	4662	2797
625	4670	2790
626	4677	2782
627	4685	2775
628	4692	2767
629	4700	2760
630	4706	2752
631	4714	2744
632	4720	2737
633	4728	2729
634	4736	2722
635	4743	2714
636	4750	2707
637	4757	2699
638	4764	2691
639	4771	2683
640	4778	2676
641	4786	2668
642	4793	2661
643	4801	2654
644	4809	2646
645	4816	2639
646	4823	2631
647	4830	2624
648	4838	2616
649	4845	2609
650	4852	2601
651	4859	2593
652	4866	2586
653	4874	2578
654	4881	2571
655	4889	2563
656	4897	2556
657	4904	2549
658	4912	2541
659	4919	2534
660	4926	2526
661	4934	2519
662	4941	2511
663	4948	2504
664	4956	2496
665	4964	2489
666	4971	2481
667	4978	2474
668	4986	2467
669	4993	2459
670	5001	2452
671	5008	2444
672	5016	2437
673	5022	2429
674	5030	2421
675	5037	2414
676	5045	2407
677	5052	2399
678	5059	2392
679	5067	2384
680	5074	2377
681	5081	2369
682	5089	2362
683	5096	2354
684	5104	2347
685	5112	2339
686	5119	2332
687	5126	2324
688	5134	2317
689	5142	2310
690	5149	2302
691	5157	2295
692	5164	2287
693	5171	2280
694	5178	2272
695	5186	2265
696	5194	2258
697	5201	2250
698	5209	2243
699	5216	2235
700	5225	2228
701	5233	2221
702	5240	2214
703	5248	2206
704	5256	2199
705	5264	2192
706	5272	2185
707	5280	2177
708	5287	2170
709	5295	2163
710	5303	2155
711	5310	2148
712	5318	2140
713	5325	2133
714	5333	2125
715	5340	2118
716	5348	2111
717	5356	2103
718	5363	2096
719	5370	2088
720	5378	2081
721	5386	2073
722	5394	2066
723	5401	2059
724	5408	2051
725	5415	2043
726	5423	2036
727	5430	2028
728	5438	2021
729	5446	2014
730	5454	2007
731	5461	1999
732	5469	1992
733	5477	1985
734	5485	1977
735	5492	1970
736	5499	1962
737	5506	1954
738	5513	1947
739	5521	1940
740	5528	1932
741	5536	1925
742	5543	1917
743	5551	1910
744	5558	1902
745	5565	1894
746	5573	1887
747	5581	1880
748	5589	1873
749	5597	1865
750	5605	1858
751	5613	1851
752	5620	1843
753	5628	1836
754	5635	1828
755	5643	1821
756	5651	1814
757	5658	1806
758	5666	1799
759	5672	1791
760	5679	1783
761	5687	1776
762	5695	1768
763	5702	1761
764	5710	1754
765	5717	1746
766	5725	1739
767	5732	1731
768	5739	1724
769	5746	1716
770	5754	1709
771	5762	1701
772	5769	1694
773	5776	1686
774	5783	1679
775	5791	1671
776	5798	1664
777	5805	1656
778	5812	1648
779	5820	1641
780	5827	1634
781	5834	1626
782	5841	1618
783	5848	1611
784	5856	1604
785	5863	1596
786	5871	1589
787	5879	1581
788	5886	1574
789	5894	1566
790	5902	1559
791	5909	1551
792	5916	1544
793	5924	1537
794	5931	1529
795	5939	1522
796	5946	1514
797	5953	1506
798	5960	1499
799	5967	1491
800	5975	1484
801	5983	1477
802	5990	1469
803	5997	1462
804	6004	1454
805	6011	1447
806	6019	1439
807	6026	1432
808	6035	1424
809	6042	1417
810	6050	1409
811	6057	1402
812	6065	1395
813	6072	1387
814	6081	1380
815	6088	1372
816	6095	1365
817	6103	1357
818	6111	1350
819	6120	1343
820	6127	1336
821	6135	1328
822	6143	1321
823	6150	1313
824	6158	1306
825	6165	1298
826	6173	1291
827	6180	1283
828	6187	1276
829	6195	1268
830	6201	1261
831	6209	1253
832	6216	1246
833	6223	1238
834	6230	1231
835	6238	1223
836	6245	1216
837	6252	1208
838	6260	1201
839	6266	1193
840	6273	1186
841	6281	1178
842	6288	1171
843	6295	1163
844	6302	1156
845	6308	1148
846	6316	1140
847	6322	1133
848	6329	1125
849	6336	1118
850	6344	1110
851	6351	1103
852	6359	1095
853	6367	1088
854	6374	1081
855	6382	1073
856	6390	1066
857	6398	1058
858	6405	1051
859	6412	1043
860	6420	1036
861	6427	1028
862	6434	1021
863	6441	1014
864	6449	1006
865	6458	999
866	6465	991
867	6473	984
868	6480	976
869	6487	969
870	6495	961
871	6502	954
872	6509	946
873	6516	939
874	6523	931
875	6530	924
876	6538	916
877	6546	909
878	6553	902
879	6560	894
880	6568	887
881	6574	879
882	6582	872
883	6589	864
884	6597	857
885	6605	849
886	6613	842
887	6619	834
888	6627	827
889	6634	819
890	6642	812
891	6649	805
892	6656	797
893	6664	790
894	6671	782
895	6680	775
896	6687	767
897	6694	760
898	6702	752
899	6709	745
900	6717	738
901	6724	730
902	6732	723
903	6739	715
904	6747	708
905	6754	700
906	6761	693
907	6769	685
908	6776	678
909	6785	671
910	6791	663
911	6799	656
912	6806	648
913	6814	641
914	6821	633
915	6829	626
916	6836	618
917	6843	611
918	6850	603
919	6857	596
920	6865	588
921	6872	581
922	6880	573
923	6887	566
924	6894	559
925	6902	551
926	6910	544
927	6917	536
928	6924	529
929	6932	521
930	6939	514
931	6947	506
932	6955	499
933	6962	492
934	6969	484
935	6976	477
936	6983	469
937	6991	462
938	6998	454
939	7006	447
940	7014	439
941	7021	432
942	7029	424
943	7037	417
944	7044	409
945	7051	402
946	7059	395
947	7067	387
948	7074	380
949	7082	372
950	7089	365
951	7096	357
952	7103	350
953	7111	342
954	7118	335
955	7125	327
956	7133	320
957	7141	313
958	7149	305
959	7157	298
960	7163	290
961	7170	283
962	7177	275
963	7184	268
964	7192	260
965	7200	253
966	7207	245
967	7214	238
968	7221	231
969	7228	223
970	7236	216
971	7243	208
972	7250	201
973	7258	193
974	7265	186
975	7272	178
976	7280	171
977	7288	163
978	7296	156
979	7304	149
980	7312	141
981	7319	134
982	7328	126
983	7336	119
984	7344	111
985	7351	104
986	7359	96
987	7365	89
988	7373	82
989	7380	74
990	7387	67
991	7394	59
992	7401	52
993	7409	44
994	7416	37
995	7423	29
996	7431	22
997	7439	14
998	7446	7
999	7454	0
