iter	Logloss
0	0.6862355784
1	0.6793220828
2	0.6730878991
3	0.6669109974
4	0.6626728639
5	0.6577181236
6	0.6530873612
7	0.6489334611
8	0.6451508593
9	0.641424813
10	0.6384614596
11	0.6352736689
12	0.6324467197
13	0.6299585764
14	0.6268970463
15	0.6245418236
16	0.6223731264
17	0.6202636354
18	0.6182570974
19	0.6162348154
20	0.6144082203
21	0.6128077544
22	0.6112325523
23	0.6097078601
24	0.6081972538
25	0.6067680958
26	0.6059455228
27	0.6045113264
28	0.6034622464
29	0.6023057773
30	0.6015453407
31	0.6005022299
32	0.599626566
33	0.5986531933
34	0.5976824014
35	0.5965159086
36	0.5955418239
37	0.5945288149
38	0.5938164677
39	0.5930342479
40	0.5923599029
41	0.5917217727
42	0.5910986929
43	0.5906120328
44	0.5898613539
45	0.5890671609
46	0.5882915548
47	0.5876943818
48	0.5871560758
49	0.586579018
50	0.5858952818
51	0.5854322923
52	0.5853493685
53	0.5847633128
54	0.5844359835
55	0.5838980576
56	0.5833765437
57	0.5828745102
58	0.5821603827
59	0.5816934636
60	0.5816407067
61	0.5813633653
62	0.5808624248
63	0.5803397406
64	0.5798203931
65	0.5794775937
66	0.5792045804
67	0.5787672374
68	0.578390858
69	0.5782421827
70	0.5776827944
71	0.5770918699
72	0.5767253725
73	0.5762916947
74	0.5760988654
75	0.5757361307
76	0.5753936679
77	0.5748839412
78	0.5742339404
79	0.5737751129
80	0.5735913387
81	0.5732674524
82	0.5729591049
83	0.5726104964
84	0.5723455421
85	0.5719558556
86	0.571698791
87	0.5714015267
88	0.571201429
89	0.5707566069
90	0.5703348421
91	0.5701798031
92	0.5697088657
93	0.569404527
94	0.5693119008
95	0.5689886243
96	0.5686530678
97	0.5683997785
98	0.5681519838
99	0.568132214
100	0.567954312
101	0.5676843419
102	0.5675056805
103	0.5674055619
104	0.5670057354
105	0.5666700906
106	0.5663886468
107	0.5659918491
108	0.5655732859
109	0.5654123519
110	0.5650255956
111	0.5646375455
112	0.5643351213
113	0.564025967
114	0.5637038917
115	0.5635166096
116	0.563403873
117	0.5633327568
118	0.5631480325
119	0.5629708802
120	0.5627988419
121	0.5625795259
122	0.5623404006
123	0.561986165
124	0.561763558
125	0.561718502
126	0.5614588197
127	0.5612063889
128	0.560952712
129	0.5606533071
130	0.5605933311
131	0.5602282463
132	0.560089184
133	0.5599594899
134	0.5596950437
135	0.559639096
136	0.5594326408
137	0.5593535516
138	0.5592485711
139	0.5591303617
140	0.5590358375
141	0.5587437851
142	0.5586488958
143	0.5584060729
144	0.5580745193
145	0.5579096536
146	0.5577301055
147	0.5573347133
148	0.5571897351
149	0.5569162982
150	0.5566708569
151	0.5565017421
152	0.5560294516
153	0.5557414457
154	0.5555632126
155	0.5552420363
156	0.5551644419
157	0.5550880163
158	0.5549546593
159	0.554772468
160	0.5546510364
161	0.554489811
162	0.5544763043
163	0.5543299861
164	0.5541864722
165	0.553942086
166	0.5537609522
167	0.5534755078
168	0.5531821753
169	0.5530361075
170	0.5529503909
171	0.5526626907
172	0.5523831894
173	0.5521653027
174	0.551998633
175	0.5519461595
176	0.551761768
177	0.551596796
178	0.5513740439
179	0.5512254512
180	0.5509352847
181	0.5507804444
182	0.5506811434
183	0.5506546442
184	0.5505219988
185	0.5503511365
186	0.5502209846
187	0.5496573872
188	0.54951847
189	0.549346553
190	0.5491723374
191	0.5488980435
192	0.5487966417
193	0.5484239177
194	0.5480571382
195	0.5477637757
196	0.5475637167
197	0.5474186226
198	0.5472643041
199	0.5470820317
200	0.5467935099
201	0.5464769749
202	0.546369651
203	0.5462442904
204	0.546104723
205	0.545907286
206	0.5456646459
207	0.5454098973
208	0.545196348
209	0.5449559193
210	0.5446534922
211	0.5444759236
212	0.5442813484
213	0.5439877593
